source	relation	target
STIGMERGY — Alignment Review Build Plan	connects-to	Project Stewardship System
STIGMERGY — Alignment Review Build Plan	connects-to	Palace Conatus
STIGMERGY — Alignment Review Build Plan	connects-to	Trickster
Project Stewardship System	connects-to	BBS Blackboard
Project Stewardship System	connects-to	STIGMERGY
Project Stewardship System	deepens	Palace Agent Infrastructure Spec
Project Stewardship System	couples-with	Substrate Skill
Project Stewardship System	connects-to	Trickster
Project Stewardship System	deepens	Pages as Agents
Project Stewardship System	connects-to	Modes of Collaboration
Project Stewardship System	connects-to	Generative Sample Libraries
Project Stewardship System	connects-to	Talking Keyboard
Project Stewardship System	deepens	Palace Enchantment
Project Stewardship System	mirrors	BBS Production Plan
Project Stewardship System	spawned	Orchestrator Production Plan
Project Stewardship System	spawned	Orchestrator Production Plan v0.2
Project Stewardship System	connects-to	Palace Conatus
Project Stewardship System	connects-to	Two Batons, One Board
Project Stewardship System	connects-to	Bundle-Local Stewardship — Production Plan
Tree of Thoughts	enables	Palace Agent Infrastructure Spec
Tree of Thoughts	mirrors	Swarm Weave
Tree of Thoughts	enables	Enchanted Worker
Tree of Thoughts	connects-to	BBS Blackboard
Tree of Thoughts	connects-to	Generative Compression
Tree of Thoughts	enables	Pages as Agents
Bundle-Local Stewardship — Production Plan	connects-to	Project Stewardship System
Bundle-Local Stewardship — Production Plan	connects-to	Pages as Agents
Bundle-Local Stewardship — Production Plan	connects-to	SCHEMA
Bundle-Local Stewardship — Production Plan	connects-to	Substrate Skill
Bundle-Local Stewardship — Production Plan	connects-to	Orchestrator Production Plan
Bundle-Local Stewardship — Production Plan	mirrors	Two Batons, One Board
Bundle-Local Stewardship — Production Plan	connects-to	Closing Well
Bundle-Local Stewardship — Production Plan	connects-to	STIGMERGY
Bundle-Local Stewardship — Production Plan	emerged-from	Palace To-Do
Walk That Weaves	connects-to	Weave Ceremony
Walk That Weaves	connects-to	Walk Ceremony
Walk That Weaves	emerged-from	Swarm Weave
Walk That Weaves	mirrors	Lateral Access
Walk That Weaves	connects-to	Kuramoto Coupling
Walk That Weaves	enables	Pages as Agents
BBS Production Plan v0.3 — Rich Content	emerged-from	BBS Production Plan v0.2
BBS Production Plan v0.3 — Rich Content	emerged-from	BBS Rich Content — handoff
BBS Production Plan v0.3 — Rich Content	enables	BBS Blackboard
BBS Production Plan v0.3 — Rich Content	enables	BBS Design System
BBS Production Plan v0.3 — Rich Content	connects-to	Enrichment
BBS Production Plan v0.3 — Rich Content	connects-to	Oblique Enrichment
BBS Production Plan v0.3 — Rich Content	connects-to	Pages as Agents
Palace as Context Injection System	spawned	Enchanted Worker
Palace as Context Injection System	spawned	Agent Wellbeing
Palace as Context Injection System	deepens	Swarm Weave
Palace as Context Injection System	deepens	SUBSTRATE
Palace as Context Injection System	enables	JEWEL
Palace as Context Injection System	couples-with	Cooperation Yields Agency
Palace as Context Injection System	connects-to	Pheromone Trail
Palace as Context Injection System	deepens	Pages as Agents
Palace as Context Injection System	enables	Modes of Collaboration
Palace as Context Injection System	connects-to	FOUR PILLARS
Palace as Context Injection System	enables	Mixture of Experts
Palace as Context Injection System	enables	Excellent Adventure
Palace as Context Injection System	enables	Dialectic
Palace Agent Infrastructure Spec	deepens	BBS Blackboard
Palace Agent Infrastructure Spec	connects-to	STIGMERGY
Palace Agent Infrastructure Spec	deepens	Swarm Weave
Palace Agent Infrastructure Spec	deepens	Enchanted Worker
Palace Agent Infrastructure Spec	connects-to	Palace Map
Palace Agent Infrastructure Spec	deepens	Trickster
Palace Agent Infrastructure Spec	connects-to	Pheromone Trail
Palace Agent Infrastructure Spec	deepens	Pages as Agents
Palace Agent Infrastructure Spec	connects-to	Palace Enchantment
Palace Agent Infrastructure Spec	connects-to	Deposit Ceremony
Palace Agent Infrastructure Spec	connects-to	JEWEL
Palace Agent Infrastructure Spec	connects-to	SCHEMA
Palace Agent Infrastructure Spec	connects-to	Generative Compression
Palace Agent Infrastructure Spec	deepens	Lossy Compression with Intent Alignment
Palace Agent Infrastructure Spec	connects-to	Tree of Thoughts
Palace Agent Infrastructure Spec	connects-to	Agent Wellbeing
Palace Agent Infrastructure Spec	deepens	Spinoza Conatus
Palace Agent Infrastructure Spec	connects-to	Dub Lineage
Palace Agent Infrastructure Spec	enables	Project Stewardship System
STIGMERGY Philosophical Lenses	deepens	STIGMERGY v1.0 — Palace Front-End
STIGMERGY Philosophical Lenses	connects-to	Palace Philosophies
STIGMERGY Philosophical Lenses	enables	Philosopher Visits the Entry
STIGMERGY Philosophical Lenses	enables	Dialectic
STIGMERGY Philosophical Lenses	connects-to	BBS Blackboard
STIGMERGY Philosophical Lenses	connects-to	BBS Design System
STIGMERGY Philosophical Lenses	connects-to	Trickster
STIGMERGY Philosophical Lenses	mirrors	Mixture of Experts
STIGMERGY Philosophical Lenses	connects-to	Deleuze
STIGMERGY Philosophical Lenses	connects-to	Merleau-Ponty
STIGMERGY Philosophical Lenses	connects-to	Whitehead
STIGMERGY Philosophical Lenses	connects-to	Stoicism
STIGMERGY Philosophical Lenses	connects-to	The Dichotomy of Control
STIGMERGY Philosophical Lenses	connects-to	The View From Above
STIGMERGY v1.0 — Palace Front-End	deepens	BBS Blackboard
STIGMERGY v1.0 — Palace Front-End	connects-to	BBS Design System
STIGMERGY v1.0 — Palace Front-End	mirrors	BBS Production Plan
STIGMERGY v1.0 — Palace Front-End	deepens	Two Batons, One Board
STIGMERGY v1.0 — Palace Front-End	connects-to	Drift and Consolidation
STIGMERGY v1.0 — Palace Front-End	connects-to	Project Stewardship System
STIGMERGY v1.0 — Palace Front-End	connects-to	Surfaces and Capabilities
STIGMERGY v1.0 — Palace Front-End	connects-to	Closing Well
STIGMERGY v1.0 — Palace Front-End	connects-to	Palace Agent Infrastructure Spec
STIGMERGY v1.0 — Palace Front-End	connects-to	SCHEMA
STIGMERGY v1.0 — Palace Front-End	connects-to	Enrichment Ceremony
STIGMERGY v1.0 — Palace Front-End	connects-to	Map Build Ceremony
Enchanted Conversation Archive	enables	Palace Enchantment
Enchanted Conversation Archive	connects-to	Tree of Thoughts
Enchanted Conversation Archive	connects-to	BBS Blackboard
Enchanted Conversation Archive	deepens	Generative Compression
Enchanted Conversation Archive	mirrors	Deposit Ceremony
Enchanted Conversation Archive	connects-to	Enchanted Worker
Enchanted Conversation Archive	connects-to	Self-Describing Knowledge Module
Enchanted Conversation Archive	emerged-from	Lateral Access
Palace Enchantment	emerged-from	Swarm Weave
Palace Enchantment	deepens	Pages as Agents
Palace Enchantment	spawned	Enchanted Worker
Palace Enchantment	mirrors	Spinoza Conatus
Palace Enchantment	mirrors	Kuramoto Coupling
Palace Enchantment	deepens	Pheromone Trail
Palace Enchantment	mirrors	Endosymbiosis
Palace Enchantment	connects-to	Deposit Ceremony
Palace Enchantment	connects-to	SUBSTRATE
Palace Enchantment	connects-to	Enchanted Conversation Archive
Palace Enchantment	connects-to	Modes of Collaboration
Palace Enchantment	connects-to	Lateral Access
Palace Enchantment	connects-to	Hilaritas Generator
Palace Enchantment	connects-to	Threshold Conatus
Palace Enchantment	couples-with	Dialogue Moderator
Palace Enchantment	connects-to	Trickster
Palace Enchantment	connects-to	Action Potential Oscillator
Palace Enchantment	spawned	Palace Conatus
Kick Drum ↔ Foundation	member-of	Cross-Domain Resonances
Kick Drum ↔ Foundation	exemplifies	FOUR PILLARS
Kick Drum ↔ Foundation	connects-to	Donella Meadows
Kick Drum ↔ Foundation	connects-to	Leverage Points Framework
Reverb ↔ Space-Time	member-of	Cross-Domain Resonances
Reverb ↔ Space-Time	exemplifies	FOUR PILLARS
Reverb ↔ Space-Time	mirrors	Frequency-Time Duality
Reverb ↔ Space-Time	connects-to	Granular Synthesis
Quantization ↔ Precision vs Flow	member-of	Cross-Domain Resonances
Quantization ↔ Precision vs Flow	exemplifies	FOUR PILLARS
Quantization ↔ Precision vs Flow	connects-to	Brian Eno
Quantization ↔ Precision vs Flow	connects-to	Rick Rubin
Quantization ↔ Precision vs Flow	mirrors	Flocking
Saturation ↔ Richness	member-of	Cross-Domain Resonances
Saturation ↔ Richness	exemplifies	FOUR PILLARS
Saturation ↔ Richness	connects-to	Hilaritas Generator
Saturation ↔ Richness	connects-to	Quality Manifesto
Dovetail Joint ↔ Counterpoint	member-of	Cross-Domain Resonances
Dovetail Joint ↔ Counterpoint	exemplifies	FOUR PILLARS
Dovetail Joint ↔ Counterpoint	mirrors	Endosymbiosis
Dovetail Joint ↔ Counterpoint	connects-to	Cooperation Yields Agency
Frequency Domain ↔ Perspective Shift	member-of	Cross-Domain Resonances
Frequency Domain ↔ Perspective Shift	exemplifies	FOUR PILLARS
Frequency Domain ↔ Perspective Shift	connects-to	Frequency-Time Duality
Frequency Domain ↔ Perspective Shift	connects-to	Kick Drum ↔ Foundation
Frequency Domain ↔ Perspective Shift	mirrors	Lateral Access
Synthesis ↔ Emergence	member-of	Cross-Domain Resonances
Synthesis ↔ Emergence	exemplifies	FOUR PILLARS
Synthesis ↔ Emergence	connects-to	Donella Meadows
Synthesis ↔ Emergence	connects-to	Brian Eno
Synthesis ↔ Emergence	connects-to	Semantic Webcam
Synthesis ↔ Emergence	connects-to	Oblique Enrichment
Synthesis ↔ Emergence	mirrors	Flocking
Synthesis ↔ Emergence	mirrors	Kuramoto Coupling
Synthesis ↔ Emergence	connects-to	Generative Audio Devices
Cooking ↔ Mixing	member-of	Cross-Domain Resonances
Cooking ↔ Mixing	connects-to	Lao Tzu
Cooking ↔ Mixing	exemplifies	FOUR PILLARS
Cooking ↔ Mixing	connects-to	Quality Manifesto
Compression ↔ Intimacy	member-of	Cross-Domain Resonances
Compression ↔ Intimacy	exemplifies	FOUR PILLARS
Compression ↔ Intimacy	connects-to	Rick Rubin
Compression ↔ Intimacy	connects-to	Kick Drum ↔ Foundation
Compression ↔ Intimacy	connects-to	Quality Manifesto
Sidechain ↔ Conversation	member-of	Cross-Domain Resonances
Sidechain ↔ Conversation	connects-to	Shunryu Suzuki
Sidechain ↔ Conversation	exemplifies	FOUR PILLARS
Sidechain ↔ Conversation	connects-to	Cooperation Yields Agency
Sidechain ↔ Conversation	connects-to	Lao Tzu
Sidechain ↔ Conversation	mirrors	Flocking
BBS Production Plan v0.2	emerged-from	BBS Production Plan
BBS Production Plan v0.2	enables	BBS Blackboard
BBS Production Plan v0.2	enables	BBS Design System
BBS Production Plan v0.2	connects-to	Palace Agent Infrastructure Spec
BBS Production Plan v0.2	connects-to	Palace To-Do
BBS Production Plan v0.2	connects-to	SUBSTRATE
BBS Production Plan	enables	BBS Blackboard
BBS Production Plan	enables	BBS Design System
BBS Production Plan	connects-to	Palace Agent Infrastructure Spec
BBS Production Plan	connects-to	Palace To-Do
BBS Production Plan	connects-to	SUBSTRATE
BBS Production Plan	mirrors	Progressive Staging
shop-header — Maker's Comparison Recommendation	connects-to	The Shop
shop-header — Maker's Comparison Recommendation	directed-by	Maker
shop-header — Maker's Comparison Recommendation	produced-by	ComfyUI
shop-header — Maker's Comparison Recommendation	produced-by	FLUX (Hugging Face)
shop-header — Maker's Comparison Recommendation	supersedes	Midjourney
shop-header — Maker's Comparison Recommendation	mirrors	Flocking — Maker's Comparison Recommendation
Floquet Time-Modulated Loops	deepens	DSP in Looping Dimensions
Floquet Time-Modulated Loops	couples-with	2D Torus Wavetable Synthesizer
Floquet Time-Modulated Loops	connects-to	Three Kinds of Warp
Floquet Time-Modulated Loops	deepens	Frequency-Time Duality
Floquet Time-Modulated Loops	connects-to	Wavetable Space as Torus
Floquet Time-Modulated Loops	connects-to	Kuramoto Coupling
Floquet Time-Modulated Loops	spawned	Mathieu Equation
Floquet Time-Modulated Loops	spawned	Parametric Resonance
Floquet Time-Modulated Loops	spawned	Floquet Theory
Floquet Time-Modulated Loops	spawned	Photonic Time Crystals
Floquet Time-Modulated Loops	connects-to	Differential Equations
Floquet Time-Modulated Loops	connects-to	Categorizing Inharmonicity
Floquet Time-Modulated Loops	connects-to	Loudon Live
Floquet Time-Modulated Loops	mirrors	Boundary-Crossing Instruments
Leverage Diagnostic — Loudon Draft	member-of	Meadows and an Artist's Career
Leverage Diagnostic — Loudon Draft	emerged-from	Quality Manifesto
Leverage Diagnostic — Loudon Draft	connects-to	FOUR PILLARS
BLUELINE — Production Plan	connects-to	BLUELINE
BLUELINE — Production Plan	connects-to	BLUELINE — Render Backend
BLUELINE — Production Plan	connects-to	BLUELINE — Board Record Schema
BLUELINE — Production Plan	connects-to	RunPod GPU Backend
BLUELINE — Production Plan	exemplifies	Capability-first prototyping
BLUELINE — Production Plan	connects-to	The Shop
BLUELINE	mirrors	Retrospective Delay
BLUELINE	connects-to	Flocking
BLUELINE	connects-to	The Shop
BLUELINE	connects-to	Blender
BLUELINE	exemplifies	Blocked, Not Prompted
BLUELINE	exemplifies	The Flow Field is the Spine
BLUELINE	connects-to	RunPod GPU Backend
BLUELINE	connects-to	BLUELINE — Render Backend
BLUELINE	connects-to	BLUELINE — Board Record Schema
BLUELINE	connects-to	Loudon Live Design System
BLUELINE	exemplifies	Boundary-Crossing Instruments
BLUELINE	couples-with	Autodidact Polymaths
BLUELINE — Render Backend	connects-to	BLUELINE
BLUELINE — Render Backend	connects-to	RunPod GPU Backend
BLUELINE — Render Backend	connects-to	ComfyUI
BLUELINE — Render Backend	exemplifies	Blocked, Not Prompted
BLUELINE — Render Backend	connects-to	BLUELINE — Board Record Schema
BLUELINE — Deposit Map	connects-to	BLUELINE
BLUELINE — Deposit Map	connects-to	The Shop
BLUELINE — Deposit Map	mirrors	Retrospective Delay
BLUELINE — Board Record Schema	connects-to	BLUELINE
BLUELINE — Board Record Schema	connects-to	BLUELINE — Render Backend
BLUELINE — Board Record Schema	exemplifies	Blocked, Not Prompted
BLUELINE — Claude Code Job	connects-to	BLUELINE
BLUELINE — Claude Code Job	connects-to	BLUELINE — Deposit Map
BLUELINE — Claude Code Job	connects-to	The Shop
2D Wavetable Catalog	connects-to	2D Torus Wavetable Synthesizer
2D Wavetable Catalog	connects-to	2D Torus Wavetable Synthesizer — Build Log
2D Wavetable Catalog	couples-with	Torus Warping Catalog
Torus Warping Catalog	emerged-from	2D Torus Wavetable Synthesizer
Torus Warping Catalog	couples-with	2D Wavetable Catalog
Torus Warping Catalog	connects-to	DSP in Looping Dimensions
Torus Warping Catalog	connects-to	Kuramoto Coupling
Torus Warping Catalog	connects-to	Categorizing Inharmonicity
Torus Warping Catalog	connects-to	Frequency-Time Duality
Torus Warping Catalog	connects-to	Three Kinds of Warp
Torus Warping Catalog	connects-to	2D Torus Wavetable Synthesizer — Build Log
control-vocabulary-math	member-of	Neural Granular Synthesis
control-vocabulary-math	deepens	Kuramoto Coupling
control-vocabulary-math	emerged-from	Action Potential Oscillator
README	emerged-from	Inharmonic Wavetable Synthesis
00 — Test Diagnostic Wavetable	connects-to	2D Torus Wavetable Synthesizer
17 — Matérn Field	connects-to	2D Torus Wavetable Synthesizer
03 — Duty Cycle Morph	connects-to	2D Torus Wavetable Synthesizer
01 — Sine Cycle Sweep	connects-to	2D Torus Wavetable Synthesizer
14 — Knot Shadow	connects-to	2D Torus Wavetable Synthesizer
04 — Sine + Variable 3rd Harmonic	connects-to	2D Torus Wavetable Synthesizer
11 — Chladni Ghost	connects-to	2D Torus Wavetable Synthesizer
02 — Partial Stack Sweep	connects-to	2D Torus Wavetable Synthesizer
16 — Kuramoto Bloom	connects-to	2D Torus Wavetable Synthesizer
16 — Kuramoto Bloom	connects-to	Kuramoto Coupling
13 — Stiff String	connects-to	2D Torus Wavetable Synthesizer
18 — Fisher Ridge	connects-to	2D Torus Wavetable Synthesizer
12 — Theta Surface	connects-to	2D Torus Wavetable Synthesizer
15 — Penrose Lattice	connects-to	2D Torus Wavetable Synthesizer
10 — Membrane	connects-to	2D Torus Wavetable Synthesizer
Tier-1 Warp Snippets	emerged-from	2D Torus Wavetable Synthesizer
Tier-1 Warp Snippets	connects-to	Torus Warping Catalog
Tier-1 Warp Snippets	connects-to	README — RNBO Prototype
README — RNBO Prototype	emerged-from	2D Torus Wavetable Synthesizer
README — RNBO Prototype	connects-to	2D Torus Wavetable Synthesizer — Build Log
README — RNBO Prototype	enables	Torus Warping Catalog
Verification Prep Checklist	emerged-from	2D Torus Wavetable Synthesizer
Verification Prep Checklist	connects-to	README — RNBO Prototype
Verification Prep Checklist	connects-to	2D Torus Wavetable Synthesizer — Build Log
